angle,leftpr,rightpr,drunk,t
90,0,0,nd,0
113,0,0,nd,1
120,0,0,nd,2
127,0,0,nd,3
126,0,0,nd,4
123,0,0,nd,5
120,0,0,nd,6
120,0,0,nd,7
121,0,0,nd,8
118,0,0,nd,9
120,0,0,nd,10
121,0,0,nd,11
122,0,0,nd,12
121,0,0,nd,13
124,0,0,nd,14
125,0,0,nd,15
122,0,0,nd,16
122,0,0,nd,17
121,0,0,nd,18
119,0,0,nd,19
121,0,0,nd,20
122,0,0,nd,21
135,0,0,nd,22
168,0,0,nd,23
180,0,0,nd,24
177,0,0,nd,25
153,0,0,nd,26
123,0,0,nd,27
111,0,0,nd,28
67,0,0,nd,29
51,0,0,nd,30
69,0,0,nd,31
101,0,0,nd,32
117,0,0,nd,33
115,0,0,nd,34
110,0,0,nd,35
118,0,0,nd,36
113,0,0,nd,37
111,0,0,nd,38
118,0,0,nd,39
112,0,0,nd,40
112,0,0,nd,41
121,0,0,nd,42
124,0,0,nd,43
122,0,0,nd,44
117,0,0,nd,45
116,0,0,nd,46
116,0,0,nd,47
117,0,0,nd,48
119,0,0,nd,49
122,0,0,nd,50
126,0,0,nd,51
120,0,0,nd,52
118,0,0,nd,53
120,0,0,nd,54
121,0,0,nd,55
161,0,0,nd,56
182,0,0,nd,57
194,0,0,nd,58
153,0,0,nd,59
123,0,0,nd,60
118,0,0,nd,61
120,0,0,nd,62
118,0,0,nd,63
118,0,0,nd,64
118,0,0,nd,65
118,0,0,nd,66
119,0,0,nd,67
118,0,0,nd,68
101,0,0,nd,69
108,0,0,nd,70
137,0,0,nd,71
131,0,0,nd,72
118,0,0,nd,73
113,0,0,nd,74
120,0,0,nd,75
123,0,0,nd,76
117,0,0,nd,77
113,0,0,nd,78
111,0,0,nd,79
113,0,0,nd,80
113,0,0,nd,81
112,0,0,nd,82
117,0,0,nd,83
122,0,0,nd,84
120,0,0,nd,85
117,0,0,nd,86
111,0,0,nd,87
79,0,0,nd,88
107,0,0,nd,89
175,0,0,nd,90
139,0,0,nd,91
115,0,0,nd,92
111,0,0,nd,93
123,0,0,nd,94
122,0,0,nd,95
113,0,0,nd,96
118,0,0,nd,97
121,0,0,nd,98
114,0,0,nd,99
117,0,0,nd,100
118,0,0,d,101
117,0,0,d,102
118,0,0,d,103
116,0,0,d,104
119,0,0,d,105
118,0,0,d,106
117,0,0,d,107
119,0,0,d,108
117,0,0,d,109
118,0,0,d,110
116,0,0,d,111
117,0,0,d,112
117,0,0,d,113
116,0,0,d,114
117,0,0,d,115
118,0,0,d,116
116,0,0,d,117
118,0,0,d,118
118,0,0,d,119
118,0,0,d,120
117,0,0,d,121
117,0,0,d,122
117,0,0,d,123
117,0,0,d,124
117,0,0,d,125
119,0,0,d,126
117,0,0,d,127
117,0,0,d,128
117,0,0,d,129
118,0,0,d,130
117,0,0,d,131
117,0,0,d,132
117,0,0,d,133
118,0,0,d,134
116,0,0,d,135
117,0,0,d,136
117,0,0,d,137
116,0,0,d,138
117,0,0,d,139
117,0,0,d,140
115,0,0,d,141
115,0,0,d,142
116,0,0,d,143
117,0,0,d,144
116,0,0,d,145
116,0,0,d,146
116,0,0,d,147
115,0,0,d,148
116,0,0,d,149
117,0,0,d,150
115,0,0,d,151
115,0,0,d,152
114,0,0,d,153
115,0,0,d,154
113,0,0,d,155
112,0,0,d,156
113,0,0,d,157
115,0,0,d,158
113,0,0,d,159
112,0,0,d,160
113,0,0,d,161
113,0,0,d,162
112,0,0,d,163
115,0,0,d,164
112,0,0,d,165
112,0,0,d,166
111,0,0,d,167
113,0,0,d,168
112,0,0,d,169
113,0,0,d,170
113,0,0,d,171
114,0,1,d,172
112,1,1,d,173
110,1,1,d,174
117,1,0,d,175
134,1,0,d,176
136,1,0,d,177
135,1,0,d,178
145,1,0,d,179
143,1,1,d,180
124,1,1,d,181
89,1,1,d,182
71,1,1,d,183
75,1,0,d,184
98,1,0,d,185
120,1,0,d,186
133,1,0,d,187
134,0,0,d,188
134,0,0,d,189
147,1,0,d,190
148,0,1,d,191
96,0,1,d,192
78,0,1,d,193
77,0,1,d,194
98,0,1,d,195
120,1,1,d,196
135,1,1,d,197
110,0,1,d,198
93,0,1,d,199
64,1,1,nd,200
54,0,0,nd,201
122,0,0,nd,202
117,0,0,nd,203
117,0,0,nd,204
